user_id,현재_구독_상태,구독_시작일,구독_종료일,구독_상태,구독_타입,구독_일수,총_구독_일수,구독_횟수,총_구독_횟수,해지_신청일,해지까지_일수
20157,0,2025-03-19 14:41:16,2025-04-19 23:59:59,해지,M,31,31,1,1,,
20244,0,2024-11-21 13:48:37,2025-03-21 23:59:59,해지,M,120,120,1,1,,
63240,0,2024-01-09 21:23:31,2025-01-09 23:59:59,해지,Y,366,366,1,1,,
64531,0,2024-03-26 15:48:59,2025-03-26 23:59:59,해지,Y,365,365,1,1,,
88808,0,2024-01-18 04:02:21,2024-02-18 23:59:59,연장,M,31,60,1,2,,
88808,0,2024-02-18 04:02:03,2024-03-18 23:59:59,해지,M,29,60,2,2,2024-02-27 23:26:24,9.0
93238,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
136517,0,2023-10-17 13:42:08,2023-11-17 23:59:59,해지,M,31,31,1,1,,
136978,0,2024-05-07 16:03:32,2024-06-07 23:59:59,해지,M,31,31,1,1,,
137000,0,2024-01-19 10:04:10,2024-02-19 23:59:59,해지,M,31,92,1,3,,
137000,0,2024-04-01 09:59:21,2024-05-01 23:59:59,연장,M,30,92,2,3,,
137000,0,2024-05-01 09:59:03,2024-06-01 23:59:59,해지,M,31,92,3,3,2024-05-02 14:16:39,1.0
139418,0,2023-10-17 13:42:08,2023-11-17 23:59:59,해지,M,31,31,1,1,,
163595,0,2024-08-02 16:42:32,2024-09-02 23:59:59,해지,M,31,31,1,1,2024-09-01 13:05:10,29.0
165993,0,2023-10-17 13:42:08,2023-11-17 23:59:59,해지,M,31,61,1,2,,
165993,0,2024-04-27 21:59:37,2024-05-27 23:59:59,해지,M,30,61,2,2,2024-04-27 22:09:31,0.0
173624,0,2024-05-26 10:39:19,2024-06-26 23:59:59,해지,M,31,31,1,1,,
189223,0,2024-01-21 10:40:18,2024-02-21 23:59:59,연장,M,31,105,1,5,,
189223,0,2024-02-21 10:40:03,2024-03-21 23:59:59,연장,M,29,105,2,5,,
189223,0,2024-03-21 10:40:02,2024-04-21 23:59:59,해지,M,31,105,3,5,2024-04-15 10:05:27,24.0
189223,0,2024-07-04 10:55:20,2024-07-11 23:59:59,해지,M,7,105,4,5,,
189223,0,2024-07-15 15:10:33,2024-07-22 23:59:59,해지,M,7,105,5,5,,
199669,0,2024-07-04 10:55:20,2024-07-11 23:59:59,해지,M,7,7,1,1,,
200894,0,2023-12-15 10:30:28,2024-01-15 23:59:59,연장,M,31,91,1,3,,
200894,0,2024-01-15 10:30:03,2024-02-15 23:59:59,연장,M,31,91,2,3,,
200894,0,2024-02-15 10:30:04,2024-03-15 23:59:59,해지,M,29,91,3,3,,
201134,0,2024-07-09 09:47:53,2024-08-09 23:59:59,해지,M,31,31,1,1,,
202973,0,2023-10-17 13:42:08,2023-11-17 23:59:59,해지,M,31,31,1,1,,
229210,0,2025-02-17 11:08:20,2025-03-03 23:59:59,해지,M,14,14,1,1,,
229332,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
230790,0,2023-09-03 22:40:42,2023-10-03 23:59:59,연장,M,30,122,1,4,,
230790,0,2023-10-03 22:40:02,2023-11-03 23:59:59,연장,M,31,122,2,4,,
230790,0,2023-11-03 22:40:03,2023-12-03 23:59:59,연장,M,30,122,3,4,,
230790,0,2023-12-03 22:40:03,2024-01-03 23:59:59,해지,M,31,122,4,4,2023-12-26 12:52:54,22.0
232257,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
240950,0,2024-05-20 14:35:54,2024-05-27 23:59:59,해지,M,7,14,1,2,,
240950,0,2024-07-15 15:10:33,2024-07-22 23:59:59,해지,M,7,14,2,2,,
241011,0,2024-04-18 15:33:15,2025-04-18 23:59:59,해지,Y,365,365,1,1,2025-03-11 08:18:33,326.0
241465,0,2023-06-22 16:44:21,2023-07-22 23:59:59,연장,M,30,92,1,3,,
241465,0,2023-07-22 16:44:03,2023-08-22 23:59:59,연장,M,31,92,2,3,,
241465,0,2023-08-22 16:44:03,2023-09-22 23:59:59,해지,M,31,92,3,3,2023-08-22 16:45:49,0.0
250714,0,2024-07-15 15:10:33,2024-07-22 23:59:59,해지,M,7,7,1,1,,
264487,0,2024-12-04 10:38:33,2025-01-04 23:59:59,연장,M,31,62,1,2,,
264487,0,2025-01-04 10:38:04,2025-02-04 23:59:59,해지,M,31,62,2,2,2025-02-03 23:24:44,30.0
314093,0,2024-07-09 21:29:55,2024-08-09 23:59:59,연장,M,31,123,1,4,,
314093,0,2024-08-09 21:29:03,2024-09-09 23:59:59,연장,M,31,123,2,4,,
314093,0,2024-09-09 21:29:03,2024-10-09 23:59:59,연장,M,30,123,3,4,,
314093,0,2024-10-09 21:29:03,2024-11-09 23:59:59,해지,M,31,123,4,4,2024-10-10 21:44:56,1.0
327211,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
400025,0,2024-06-10 13:54:01,2024-07-10 23:59:59,해지,M,30,30,1,1,,
400073,0,2023-07-18 08:20:53,2023-08-18 23:59:59,해지,M,31,31,1,1,2023-08-16 16:10:18,29.0
400701,1,2025-04-24 00:00:00,2025-07-24 23:59:59,해지,M,91,91,1,1,,
400836,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
401423,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
401451,0,2024-11-21 13:48:37,2025-03-21 23:59:59,해지,M,120,120,1,1,,
401463,1,2025-04-14 11:27:36,2025-06-14 23:59:59,해지,M,61,61,1,1,,
402208,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
402244,0,2024-05-20 14:35:54,2024-05-27 23:59:59,해지,M,7,7,1,1,,
402331,0,2024-08-29 16:24:18,2024-09-29 23:59:59,연장,M,31,487,1,5,,
402331,0,2024-09-29 16:24:04,2024-10-29 23:59:59,연장,M,30,487,2,5,,
402331,0,2024-10-29 16:24:03,2024-11-29 23:59:59,연장,M,31,487,3,5,,
402331,0,2024-11-29 16:24:03,2024-12-29 23:59:59,해지,M,30,487,4,5,2024-12-23 16:29:11,24.0
402331,1,2025-05-12 14:08:35,2026-05-12 23:59:59,해지,Y,365,487,5,5,,
402450,0,2024-07-05 17:34:16,2024-08-05 23:59:59,연장,M,31,62,1,2,,
402450,0,2024-08-05 17:34:03,2024-09-05 23:59:59,해지,M,31,62,2,2,,
402655,0,2024-07-18 19:14:49,2024-08-18 23:59:59,연장,M,31,62,1,2,,
402655,0,2024-08-18 19:14:03,2024-09-18 23:59:59,해지,M,31,62,2,2,2024-08-22 17:27:50,3.0
402821,1,2025-04-14 11:27:36,2025-06-14 23:59:59,해지,M,61,61,1,1,,
403027,0,2024-04-30 16:51:07,2024-05-30 23:59:59,연장,M,30,61,1,2,,
403027,0,2024-05-30 16:51:04,2024-06-30 23:59:59,해지,M,31,61,2,2,,
403055,0,2024-05-30 19:04:26,2024-06-30 23:59:59,해지,M,31,31,1,1,2024-06-15 18:02:17,15.0
403177,0,2023-10-17 13:42:08,2023-11-17 23:59:59,해지,M,31,31,1,1,,
403642,0,2024-05-09 10:56:50,2024-06-09 23:59:59,해지,M,31,31,1,1,,
403930,0,2023-09-09 18:48:57,2023-10-09 23:59:59,해지,M,30,30,1,1,2023-09-15 20:41:02,6.0
403937,1,2025-04-24 00:00:00,2025-07-24 23:59:59,해지,M,91,91,1,1,,
403950,1,2025-04-24 00:00:00,2025-07-24 23:59:59,해지,M,91,91,1,1,,
403993,0,2023-10-17 14:27:04,2023-11-17 23:59:59,해지,M,31,31,1,1,,
404367,0,2024-09-05 12:01:22,2024-10-05 23:59:59,연장,M,30,61,1,2,,
404367,0,2024-10-05 12:01:04,2024-11-05 23:59:59,해지,M,31,61,2,2,,
404796,0,2024-03-05 15:18:15,2025-03-05 23:59:59,해지,Y,365,365,1,1,,
404865,0,2025-01-26 13:42:18,2025-02-26 23:59:59,연장,M,31,151,1,5,,
404865,0,2025-02-26 13:42:03,2025-03-26 23:59:59,연장,M,28,151,2,5,,
404865,0,2025-03-26 13:42:03,2025-04-26 23:59:59,연장,M,31,151,3,5,,
404865,0,2025-04-26 13:42:04,2025-05-26 23:59:59,연장,M,30,151,4,5,,
404865,1,2025-05-26 13:42:03,2025-06-26 23:59:59,해지,M,31,151,5,5,,
404891,0,2023-09-28 13:26:43,2023-10-28 23:59:59,연장,M,30,122,1,4,,
404891,0,2023-10-28 13:26:03,2023-11-28 23:59:59,연장,M,31,122,2,4,,
404891,0,2023-11-28 13:26:03,2023-12-28 23:59:59,연장,M,30,122,3,4,,
404891,0,2023-12-28 13:26:03,2024-01-28 23:59:59,해지,M,31,122,4,4,2024-01-24 00:59:03,26.0
405000,0,2023-07-12 22:23:41,2023-08-12 23:59:59,연장,M,31,428,1,14,,
405000,0,2023-08-12 22:23:04,2023-09-12 23:59:59,연장,M,31,428,2,14,,
405000,0,2023-09-12 22:23:03,2023-10-12 23:59:59,연장,M,30,428,3,14,,
405000,0,2023-10-12 22:23:03,2023-11-12 23:59:59,연장,M,31,428,4,14,,
405000,0,2023-11-12 22:23:03,2023-12-12 23:59:59,연장,M,30,428,5,14,,
405000,0,2023-12-12 22:23:04,2024-01-12 23:59:59,연장,M,31,428,6,14,,
405000,0,2024-01-12 22:23:04,2024-02-12 23:59:59,연장,M,31,428,7,14,,
405000,0,2024-02-12 22:23:03,2024-03-12 23:59:59,연장,M,29,428,8,14,,
405000,0,2024-03-12 22:23:03,2024-04-12 23:59:59,연장,M,31,428,9,14,,
405000,0,2024-04-12 22:23:04,2024-05-12 23:59:59,연장,M,30,428,10,14,,
